Year,Dpop,Rpop,Dpoll,Rpoll
1980,5587014,8783870,292.08,185.76
1981,5862353,8892558,315.36,170.47
1982,6176961,8978590,325.78,170.79
1983,6508452,9065453,352.64,165.43
1984,6858226,9153278,362,167.61
1985,7225758,9241709,398.07,179.94
1986,7613533,9331118,426.82,197.23
1987,8022119,9421392,455.89,205.79
1988,8453240,9512665,492.29,207.56
1989,8906248,9604568,541.29,212.11
1990,9384209,9697487,578.69,206.92
1991,9884712,9791306,616.11,217.23
1992,10406210,9939588,656.22,218.38
1993,10953673,10100782,678.12,228.33
1994,11530752,10264818,717.13,239.47
1995,12138233,10431518,762.34,255.58
1996,12778623,10601161,826.15,281.19
1997,13450896,10773084,859.93,296.59
1998,14159537,10948038,877.94,308.31
1999,14905513,11125834,951.67,316.28
2000,15691899,11306768,978.43,324.23
2001,16413660,11415294,992.53,332.99
2002,16955638,11518027,1020,327.43
2003,17515512,11621685,1060,317.51
2004,18094682,11726420,1130,333.68
2005,18691330,11831807,1190,342.09
2006,19308516,11938289,1260,341.95
2007,19946082,12045728,1360,356.92
2008,20605620,12154285,1460,380.34
2009,21285064,12263517,1610,360.09
2010,21987896,12373884,1680,411.24
2011,22713934,12485244,1770,429.96
2012,23463948,12597761,1940,460.1
2013,24238724,12710979,2030,495.05
2014,25039086,12825373,2180,523.89
2015,25865876,12940796,2250,495.21
2016,26719964,13057419,2390,478.44
2017,27602256,13174768,2460,484.59
2018,28513682,13293172,2590,466.65
2019,29399140,13374275,2620,465.72